1;Вьючные животные;Лошади;Анжела;2019-01-02;шагом галопом рысью
2;Домашние животные;Собаки;Шарик;2018-02-10;сидеть лежать принеси искать
3;Вьючные животные;Верблюды;Абдулла;2020-03-04;лечь встать идти
4;Домашние животные;Кошки;Барсик;2012-05-13;дай тапки
5;Вьючные животные;Ослы;Моисей;2010-09-19;стой иди лежать
6;Домашние животные;Хомяки;Чинганчгук;2022-12-25;спать
7;Вьючные животные;Верблюды;Зульфия;2011-11-04;встать лечь сидеть
8;Вьючные животные;Ослы;Фара;2022-12-19;стой иди служить
9;Вьючные животные;Лошади;Кардан;2013-03-05;шагом галопом рысь сидеть
10;Домашние животные;Кошки;Мурка;2018-09-23;лови мышей спи
11;Домашние животные;Хомяки;Покахонтас;2017-02-23;спать служить сидеть
12;Домашние животные;Кошки;Жучка;2023-01-22;сидеть лежать принеси
